Fecha,Adj Close
3/31/2006,18.025801
4/3/2006,18.490652
4/4/2006,18.552624
4/5/2006,17.989645
4/6/2006,17.994816
4/7/2006,17.261385
4/10/2006,17.04446
4/11/2006,17.132261
4/12/2006,17.586782
4/13/2006,17.638433
4/17/2006,17.411169
4/18/2006,17.586782
4/19/2006,17.225227
4/20/2006,17.380186
4/21/2006,17.436998
4/24/2006,17.50931
4/25/2006,17.504147
4/26/2006,17.493807
4/27/2006,17.917341
4/28/2006,17.870853
5/1/2006,17.757225
5/2/2006,17.514469
5/3/2006,16.54862
5/4/2006,16.682905
5/5/2006,16.946329
5/8/2006,16.429827
5/9/2006,16.564114
5/10/2006,16.584764
5/11/2006,15.913327
5/12/2006,15.520786
5/15/2006,15.226381
5/16/2006,14.993953
5/17/2006,13.196543
5/18/2006,13.70788
5/19/2006,13.831831
5/22/2006,13.222365
5/23/2006,13.55809
5/24/2006,13.196543
5/25/2006,13.780184
5/26/2006,14.436135
5/30/2006,13.836997
5/31/2006,13.945461
6/1/2006,14.565266
6/2/2006,14.580763
6/5/2006,14.399981
6/6/2006,14.084918
6/7/2006,13.599414
6/8/2006,12.912471
6/9/2006,13.026096
6/12/2006,12.07625
6/13/2006,10.77957
6/14/2006,11.248249
6/15/2006,12.341825
6/16/2006,12.211643
6/19/2006,11.800243
6/20/2006,11.815868
6/21/2006,12.237676
6/22/2006,12.294959
6/23/2006,12.216843
6/26/2006,12.419936
6/27/2006,11.946057
6/28/2006,11.815868
6/29/2006,12.393902
6/30/2006,12.550129
7/3/2006,13.310428
7/5/2006,12.565751
7/6/2006,12.899035
7/7/2006,12.477226
7/10/2006,12.857377
7/11/2006,12.643866
7/12/2006,12.388698
7/13/2006,12.065827
7/14/2006,11.836702
7/17/2006,11.92523
7/18/2006,11.857528
7/19/2006,12.77926
7/20/2006,12.706349
7/21/2006,12.602207
7/24/2006,13.122959
7/25/2006,13.201067
7/26/2006,13.279177
7/27/2006,13.711411
7/28/2006,13.987409
7/31/2006,14.049894
8/1/2006,13.747857
8/2/2006,14.091558
8/3/2006,14.075928
8/4/2006,14.607099
8/7/2006,14.461289
8/8/2006,14.24778
8/9/2006,14.732077
8/10/2006,15.153891
8/11/2006,15.023704
8/14/2006,14.98204
8/15/2006,15.247627
8/16/2006,15.429891
8/17/2006,15.596532
8/18/2006,15.872527
8/21/2006,15.388228
8/22/2006,14.945591
8/23/2006,14.534193
8/24/2006,14.638347
8/25/2006,14.555021
8/28/2006,14.846648
8/29/2006,14.711256
8/30/2006,14.737288
8/31/2006,15.153891
9/1/2006,15.04974
9/5/2006,15.018496
9/6/2006,14.456084
9/7/2006,14.940383
9/8/2006,14.893517
9/11/2006,14.721667
9/12/2006,14.763325
9/13/2006,15.273856
9/14/2006,15.163668
9/15/2006,15.022004
9/18/2006,15.216132
9/19/2006,14.817369
9/20/2006,15.200399
9/21/2006,14.838358
9/22/2006,15.048231
9/25/2006,14.906569
9/26/2006,15.216132
9/27/2006,15.216132
9/28/2006,15.273856
9/29/2006,15.006265
10/2/2006,15.315835
10/3/2006,15.074473
10/4/2006,15.216132
10/5/2006,15.740832
10/6/2006,16.029409
10/9/2006,16.029409
10/10/2006,16.323242
10/11/2006,16.297009
10/12/2006,15.845773
10/13/2006,15.688361
10/16/2006,15.740832
10/17/2006,15.620152
10/18/2006,15.583419
10/19/2006,15.515218
10/20/2006,15.583419
10/23/2006,15.588675
10/24/2006,15.546696
10/25/2006,15.798552
10/26/2006,15.672614
10/27/2006,15.788056
10/30/2006,15.788056
10/31/2006,16.039907
11/1/2006,15.898246
11/2/2006,15.934966
11/3/2006,15.919223
11/6/2006,16.223549
11/7/2006,16.580345
11/8/2006,16.344229
11/9/2006,16.386204
11/10/2006,16.470148
11/13/2006,16.522627
11/14/2006,16.60133
11/15/2006,16.659042
11/16/2006,16.480652
11/17/2006,16.580345
11/20/2006,16.176329
11/21/2006,16.060896
11/22/2006,15.929719
11/24/2006,15.740832
11/27/2006,15.237122
11/28/2006,15.268609
11/29/2006,15.363052
11/30/2006,15.777563
12/1/2006,15.662125
12/4/2006,15.740832
12/5/2006,15.772311
12/6/2006,15.809046
12/7/2006,15.546696
12/8/2006,15.483732
12/11/2006,15.447
12/12/2006,15.696541
12/13/2006,15.70712
12/14/2006,15.802276
12/15/2006,16.124777
12/18/2006,16.034897
12/19/2006,16.045471
12/20/2006,16.050753
12/21/2006,16.330959
12/22/2006,16.627022
12/26/2006,16.558287
12/27/2006,16.685171
12/28/2006,16.701033
12/29/2006,16.457842
1/3/2007,16.896646
1/4/2007,15.85514
1/5/2007,16.066614
1/8/2007,16.093056
1/9/2007,15.812849
1/10/2007,15.781125
1/11/2007,15.96617
1/12/2007,16.071896
1/16/2007,15.860434
1/17/2007,15.770549
