Date,Adj Close BMA,Adj Close BCol
4/3/2006,14.020185,18.490648
4/4/2006,14.576051,18.552635
4/5/2006,14.452526,17.989649
4/6/2006,14.014007,17.994816
4/7/2006,13.927539,17.261381
4/10/2006,13.649606,17.044456
4/11/2006,13.501375,17.132257
4/12/2006,13.587845,17.586782
4/13/2006,13.865775,17.638426
4/17/2006,13.9893,17.411169
4/18/2006,14.390762,17.586782
4/19/2006,14.31047,17.225229
4/20/2006,14.143705,17.38018
4/21/2006,14.19929,17.436995
4/24/2006,14.051065,17.5093
4/25/2006,14.236353,17.504143
4/26/2006,14.378407,17.493814
4/27/2006,14.298116,17.91733
4/28/2006,14.31047,17.870853
5/1/2006,14.390762,17.757221
5/2/2006,14.483408,17.514467
5/3/2006,14.5637,16.548616
5/4/2006,14.514285,16.682905
5/5/2006,14.668694,16.946321
5/8/2006,14.668694,16.429823
5/9/2006,15.13191,16.564104
5/10/2006,15.156622,16.584774
5/11/2006,14.718103,15.913326
5/12/2006,13.927539,15.520782
5/15/2006,13.371673,15.226383
5/16/2006,13.433434,14.993958
5/17/2006,13.459751,13.196542
5/18/2006,12.95846,13.707879
5/19/2006,12.908329,13.831842
5/22/2006,12.507291,13.222363
5/23/2006,12.689013,13.558095
5/24/2006,12.250379,13.196542
5/25/2006,12.732878,13.78019
5/26/2006,12.601289,14.436137
5/30/2006,12.444633,13.836996
5/31/2006,13.66027,13.945473
6/1/2006,13.747998,14.565265
6/2/2006,13.754264,14.580761
6/5/2006,12.983521,14.399984
6/6/2006,13.346961,14.084918
6/7/2006,13.503613,13.599412
6/8/2006,12.939661,12.912468
6/9/2006,12.851935,13.026091
6/12/2006,11.905742,12.076244
6/13/2006,12.018533,10.779572
6/14/2006,12.125056,11.248247
6/15/2006,12.212785,12.341827
6/16/2006,12.219048,12.211642
6/19/2006,11.792951,11.800245
6/20/2006,11.811748,11.81587
6/21/2006,11.968404,12.237678
6/22/2006,11.968404,12.294962
6/23/2006,11.905742,12.216844
6/26/2006,12.031067,12.419946
6/27/2006,11.905742,11.946056
6/28/2006,12.056131,11.81587
6/29/2006,12.507291,12.393906
6/30/2006,12.75794,12.550129
7/3/2006,12.751678,13.310425
7/5/2006,12.939661,12.565748
7/6/2006,12.876998,12.899036
7/7/2006,12.970992,12.477221
7/10/2006,12.970992,12.857374
7/11/2006,12.66395,12.643863
